aaa,9751050,8219,115,199
aab,9737556,8663,127,186
aac,9885141,8109,257,449
aad,9944875,8630,217,301
aae,9625372,8479,31,59
aaf,9958305,8732,122,187
aag,9581963,9657,63,175
aba,9859566,10046,144,264
abb,9985669,7359,18,69
abc,9739790,8210,98,273
abd,9992350,9799,148,284
abe,9874687,7215,86,224
abf,9898752,8861,76,124
abg,9943422,7719,382,688
aca,9811865,8509,85,219
acb,9955023,8148,24,36
acc,9884529,9525,118,284
acd,9959144,10422,506,843
ace,9595924,8914,34,107
acf,9968785,9669,184,307
acg,9903603,9015,138,372
ada,9980108,8488,13,63
adb,9603067,9985,222,329
adc,9790226,8524,119,184
add,9944979,8203,51,162
ade,9964027,11752,165,323
adf,9987291,6953,131,257
adg,9979095,9022,6,16
aea,9884665,7614,56,82
aeb,9768810,9344,37,68
aec,9928014,9127,210,376
aed,9844788,8775,170,349
aee,9840514,9336,158,271
aef,9608569,9017,12,56
aeg,9961958,8685,16,43
afa,9645065,9515,408,666
afb,9891500,9927,48,85
afc,9903297,8569,42,86
afd,9988777,9680,6,16
afe,9686022,8547,144,284
aff,9990702,9579,134,211
afg,9909423,7702,91,167
aga,9879275,10623,771,1395
agb,9468942,8704,87,155
agc,9580275,10122,83,191
agd,9838619,7053,37,71
age,9396626,8737,212,342
agf,9933013,9322,177,419
agg,9818999,9886,35,92
baa,9601975,9426,80,215
bab,9992887,7439,129,210
bac,9879698,9630,190,377
bad,9649767,9487,136,192
bae,9761966,8832,5,6
baf,9935455,9134,42,111
bag,9959057,7457,139,218
bba,9989906,10441,56,97
bbb,9549197,8537,58,183
bbc,9694636,9104,216,375
bbd,9588651,9990,119,312
bbe,9980477,9081,5,15
bbf,9970803,8798,96,250
bbg,9971340,7953,157,285
bca,9866550,10251,81,140
bcb,9977073,7919,40,93
bcc,9704145,8344,70,124
bcd,9833169,9547,7,30
bce,9709509,9511,43,76
bcf,9897980,8795,463,803
bcg,9958091,9664,109,221
bda,9741487,9253,162,354
bdb,9768884,7757,136,211
bdc,9602811,8280,12,30
bdd,9680666,9335,60,98
bde,9952948,7520,109,217
bdf,9783629,9432,165,236
bdg,9684275,9274,116,273
bea,9893078,8307,149,308
beb,9990387,7569,45,102
bec,9833604,9430,257,511
bed,9936124,9377,72,179
bee,9968643,9199,189,265
bef,9842413,9454,7,30
beg,9148337,8303,42,108
bfa,9984540,8312,147,221
bfb,9767832,8135,607,1705
bfc,9723355,7692,203,352
bfd,9806125,9245,308,428
bfe,9803751,9781,20,57
bff,9608000,9213,95,153
bfg,9975451,8740,120,288
bga,9969701,9686,22,51
bgb,9988977,8493,210,371
bgc,9702822,8373,97,150
bgd,9915004,9117,172,358
bge,9997256,10043,9,34
bgf,9951017,8267,10,30
bgg,9890957,7610,94,147
caa,9638103,9145,12,44
cab,9773467,9177,85,246
cac,9855323,7717,131,207
cad,9871172,9558,190,338
cae,9809095,7635,154,354
caf,9904703,9184,103,161
cag,9780238,9145,60,147
cba,9721819,9628,196,374
cbb,9973656,8450,90,138
cbc,9913279,8178,36,115
cbd,9985636,8570,26,72
cbe,9962946,10021,89,228
cbf,9809456,9301,269,360
cbg,9792991,10288,47,81
cca,9881823,8337,153,389
ccb,9752555,9137,10,38
ccc,9889532,9309,386,808
ccd,9992372,9053,34,66
cce,9828518,8821,126,221
ccf,9718835,9298,5,11
ccg,9973432,9099,104,271
cda,9685740,7650,154,279
cdb,9784119,10029,45,149
cdc,9904804,10800,137,321
cdd,9952446,10317,10,31
cde,9964543,8915,177,289
cdf,9782315,9360,158,276
cdg,9962091,9038,19,42
cea,9773518,10231,119,231
ceb,9827646,9432,6,11
cec,9944379,8238,54,131
ced,9962259,8128,103,171
cee,9939581,9412,140,316
cef,9941185,9047,210,365
ceg,9899573,8415,149,297
cfa,9865534,9429,38,66
cfb,9811792,9566,127,236
cfc,9680391,8235,18,51
cfd,9899614,8369,135,217
cfe,9766301,6692,121,231
cff,9862337,10155,439,754
cfg,9973446,9208,72,168
cga,9897532,9285,82,176
cgb,9995474,9831,66,189
cgc,9821111,8068,27,39
cgd,9706792,8869,186,289
cge,9896376,10075,7,16
cgf,9450004,8440,47,158
cgg,9990148,8617,99,200
daa,9824232,9724,78,140
dab,9927155,9024,33,119
dac,9673106,9251,118,315
dad,9988461,10309,160,272
dae,9930131,9229,74,108
daf,9967294,10795,8,29
dag,9982663,8946,126,234
dba,9882711,9025,216,307
dbb,9909684,10417,61,147
dbc,9776855,8254,89,235
dbd,9839506,8883,105,200
dbe,9929753,9026,145,280
dbf,9931791,9377,15,42
dbg,9905519,8722,24,73
dca,9171583,9924,75,135
dcb,9983166,8254,124,287
dcc,9837004,8400,54,115
dcd,9509281,8627,179,365
dce,9919028,8191,90,172
dcf,9588034,7081,27,84
dcg,9867754,8880,199,328
dda,9809059,10266,45,74
ddb,9851473,8447,64,144
ddc,9994917,9680,33,126
ddd,9993852,8982,166,420
dde,9948101,9467,184,300
ddf,9724610,7793,158,247
ddg,9597056,8569,193,264
dea,9596201,8809,39,140
deb,9889448,8597,83,260
dec,9706955,7453,48,127
ded,9920359,8133,182,360
dee,9828991,10890,164,316
def,9742873,9567,238,318
deg,9889902,8218,43,114
dfa,9824467,8400,86,230
dfb,9866761,10125,178,393
dfc,9773486,9039,116,212
dfd,9773312,9415,48,86
dfe,9956550,8169,211,379
dff,9424732,9933,82,152
dfg,9852197,9062,105,163
dga,9846569,8697,166,266
dgb,9692916,9003,222,387
dgc,9880195,7935,91,134
dgd,9828321,9502,25,134
dge,9831454,7974,78,131
dgf,9870967,9560,212,331
dgg,9932721,9063,125,243
eaa,9893047,8887,114,213
eab,9814792,9593,85,147
eac,9857204,9542,459,797
ead,9882137,8927,314,483
eae,9756723,10187,60,194
eaf,9793143,8560,91,136
eag,9946440,7102,75,124
eba,9870615,9297,86,192
ebb,9651219,8352,201,284
ebc,9388129,9943,88,238
ebd,9735932,8555,164,298
ebe,9993219,8669,75,171
ebf,9987361,9604,16,57
ebg,9758506,9523,128,210
eca,9984278,9459,40,102
